Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;2;return;Forehand;Flat;75,107407;102;0;0;deep;ad;near;-0,055452;2,337641;deep;ad;far;2,08288;24,017979;0,994805;inside out;In;false;07:52:07;1972,069946
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;55,195385;102;0;0;short;deuce;far;-0,763002;16,864273;deep;deuce;near;0,155387;-0,013246;0,988329;cross court;In;false;07:52:08;1973,369995
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;97,201248;102;0;0;short;ad;near;-2,798565;6,576078;deep;deuce;far;-0,558957;23,079987;1,634541;down the line;In;false;07:52:10;1975,619995
Rikard Rykkvin;5;in_play;Backhand;Slice;76,594582;102;0;0;deep;deuce;far;-0,516924;21,693043;out;ad;near;-2,721001;-0,398109;0,471217;down the line;In;false;07:52:11;1976,810059
Rikard Rykkvin;1;serve;Serve;Flat;113,002808;103;0;0;short;deuce;far;-0,082675;17,626713;deep;deuce;near;0,910904;1,473634;2,43239;down the T;In;false;07:52:34;1998,849976
Rasmus Kopperud Riis;2;return;Backhand;Flat;51,582539;103;0;0;short;ad;far;0,843907;12,684834;out;deuce;far;-0,784172;26,181007;1,187096;inside in;Net;false;07:52:35;1999,890015
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Flat;36,133842;103;0;0;short;ad;far;1,05916;15,67502;short;ad;far;1,05916;16,321112;4,778397;cross court;Net;false;07:52:37;2001,849976
Rikard Rykkvin;1;serve;Serve;Slice;104,22226;104;0;0;deep;ad;far;1,555344;21,729607;deep;ad;near;-1,198689;1,403248;2,687782;down the T;Out;false;07:52:44;2009,52002
Rasmus Kopperud Riis;2;return;Forehand;Topspin;89,469688;104;0;0;deep;ad;near;-0,212315;4,715538;out;ad;far;1,967908;25,61334;1,276459;inside out;In;false;07:52:45;2010,640015
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;95,717484;104;0;0;short;ad;near;-1,242244;6,862762;deep;ad;near;-0,621918;1,894809;1,474784;inside out;Net;false;07:52:47;2012,040039
Rikard Rykkvin;1;serve;Serve;Slice;104,857574;105;0;0;short;ad;far;0,714837;18,191683;out;ad;near;-0,843992;-0,49993;2,618284;down the T;In;false;07:52:57;2022,060059
Rasmus Kopperud Riis;2;return;Forehand;Topspin;77,835579;105;0;0;short;ad;near;-0,001218;5,726568;out;ad;far;1,428413;25,572985;0,863683;inside out;In;false;07:52:58;2023,329956
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;86,785118;105;0;0;deep;ad;far;3,280853;21,605824;out;deuce;near;0,262519;-1,027057;1,166519;down the line;In;false;07:52:59;2024,699951
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Flat;56,273888;105;0;0;out;ad;near;-0,404571;-0,317108;deep;ad;far;3,159503;23,161274;3,685208;cross court;Out;false;07:53:00;2025,76001
Rikard Rykkvin;5;in_play;Forehand;Topspin;38,693661;105;0;0;short;ad;far;0,22093;15,990143;short;deuce;near;0,135226;11,149323;4,431085;down the line;In;false;07:53:04;2028,949951
Rikard Rykkvin;1;serve;Serve;Flat;99,277473;107;0;0;short;deuce;far;-3,924307;18,20639;deep;deuce;near;1,078352;0,255481;2,663898;out wide;In;false;07:53:19;2044,800049
Rasmus Kopperud Riis;2;return;Forehand;Flat;59,578033;107;0;0;deep;ad;near;-1,319486;4,213603;out;deuce_alley;far;-4,831885;25,445364;1,007627;down the line;In;false;07:53:20;2045,800049
Rikard Rykkvin;3;serve_plus_one;Backhand;Topspin;81,274742;107;0;0;deep;ad;far;2,560597;23,717428;out;ad;near;-0,655988;-0,668837;1,111938;cross court;In;false;07:53:22;2047,709961
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Flat;61,568684;107;0;0;short;deuce;near;2,793063;6,179818;out;ad;far;2,246335;24,653084;2,380028;down the line;In;false;07:53:24;2049,340088
Rikard Rykkvin;5;in_play;Forehand;Flat;107,461929;107;0;0;deep;ad;far;1,289607;20,765656;deep;deuce;near;2,326036;0,183639;0,698982;down the line;In;false;07:53:26;2051,340088
Rasmus Kopperud Riis;6;in_play;Backhand;Flat;43,131901;107;0;0;short;deuce;far;-0,973071;11,934872;deep;ad;far;0,54941;23,289572;2,291898;down the line;Net;false;07:53:27;2052,570068
Rikard Rykkvin;1;serve;Serve;Slice;117,62635;108;0;0;short;ad;far;1,708634;17,697247;deep;ad;near;-1,339172;1,110248;2,632663;down the T;In;false;07:53:44;2069,25
Rasmus Kopperud Riis;2;return;Forehand;Flat;67,062698;108;0;0;deep;ad;near;-3,273706;4,09952;out;ad;far;1,705284;24,588955;1,375947;inside out;In;false;07:53:45;2070,320068
Rikard Rykkvin;3;serve_plus_one;Backhand;Topspin;58,667442;108;0;0;deep;ad;far;3,137946;22,138206;out;ad;near;-3,025353;-0,582278;1,379676;cross court;In;false;07:53:47;2071,97998
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;68,30172;108;0;0;deep;deuce;near;1,958955;3,754563;deep;ad;far;3,137946;22,784298;2,098629;inside in;In;false;07:53:49;2074,070068
Rikard Rykkvin;5;in_play;Forehand;Topspin;76,81398;108;0;0;deep;ad;far;1,703653;21,665663;out;deuce;near;1,408573;-0,900449;1,455351;down the line;In;false;07:53:50;2075,780029
Rasmus Kopperud Riis;6;in_play;Backhand;Flat;46,809303;108;0;0;deep;ad;far;0,844164;23,085386;out;ad;far;1,2838;25,954838;2,078663;cross court;Net;false;07:53:52;2077,47998
Rikard Rykkvin;7;in_play;Forehand;Topspin;74,773476;108;0;0;deep;ad;far;1,125983;23,156811;deep;deuce;near;0,844164;5,19734;0,907519;down the line;In;false;07:53:55;2080,02002
Rasmus Kopperud Riis;8;in_play;Forehand;Topspin;52,903446;108;0;0;deep;ad_alley;near;-4,822708;2,862283;deep;ad;far;1,125983;23,802902;2,13521;inside in;Out;false;07:53:56;2080,969971
Rasmus Kopperud Riis;1;serve;Serve;Slice;67,121956;109;0;0;short;ad;near;-0,894097;11,418884;deep;deuce;near;1,007884;0,583813;2,47531;down the T;Net;false;07:55:04;2149,75
Rasmus Kopperud Riis;1;serve;Serve;Slice;111,968727;110;0;0;deep;deuce;far;-1,577487;19,175241;deep;deuce;near;0,690425;1,259932;2,524124;down the T;Out;false;07:55:11;2155,919922
Rikard Rykkvin;2;return;Forehand;Topspin;66,576019;110;0;0;short;ad;near;-2,431718;8,822065;deep;deuce;far;-1,774155;23,828705;1,646648;down the line;In;false;07:55:12;2157,100098
